ano;sigla_uf;rede;diretoria;id_municipio;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;;;3554953;0;0;0;0;0;0;84.84849;5.627706;9.523809
2011;SP;;;3556354;0;0;0;0;0;0;91.03642;8.963586;0
2011;SP;;;3509007;93.6407;6.200318;0.1589825;92.98245;6.270627;0.7469168;83.82353;14.24783;1.92864
2011;SP;;;3509205;0;0;0;91.96192;4.547858;3.490217;77.33379;14.08887;8.577333
2011;SP;;;3516309;92.6282;6.089744;1.282051;91.41223;5.97281;2.614962;81.62242;11.27948;7.098097
2011;SP;;;3516408;92.82868;6.640106;0.5312085;91.16737;6.919831;1.912799;83.01052;12.03294;4.956535
2011;SP;;;3528502;0;0;0;95.4882;3.513001;0.9987946;84.89647;12.75883;2.344702
2011;SP;;;3509502;90.74803;8.858268;0.3937008;89.29618;8.486344;2.217471;75.36739;17.93721;6.6954
2011;SP;;;3524709;0;0;0;0;0;0;81.46639;16.83639;1.697217
2011;SP;;;3556206;0;0;0;91.25475;6.626833;2.118414;80.38605;13.4807;6.13325
2011;SP;;;3556701;0;0;0;91.43969;8.560311;0;84.04126;11.52913;4.429612
2011;SP;;;3510401;0;0;0;88.34315;7.727571;3.929273;78.43954;11.49494;10.06552
2011;SP;;;3514908;0;0;0;88.73563;3.678161;7.586207;85.45994;5.192878;9.347181
2011;SP;;;3520509;0;0;0;94.01102;3.714235;2.274747;82.54581;11.58562;5.868577
2011;SP;;;3530904;0;0;0;0;0;0;86.95652;8.695652;4.347826
2011;SP;;;3531803;0;0;0;91.41736;4.413929;4.16871;82.45112;9.680496;7.868383
2011;SP;;;3542107;0;0;0;93.10897;4.967949;1.923077;72.97298;13.75921;13.26781
2011;SP;;;3544004;0;0;0;90.50773;4.635762;4.856512;81.03608;9.898242;9.06568
2011;SP;;;3510500;0;0;0;92.48036;7.18294;0.3367004;89.14964;9.386828;1.463538
2011;SP;;;3520400;0;0;0;0;0;0;84.29407;15.62239;0.08354219
2011;SP;;;3550704;0;0;0;84.61539;9.230769;6.153846;84.48687;14.08115;1.431981
2011;SP;;;3555406;42.85714;42.85714;14.28571;90.35602;9.148265;0.4957188;82.15527;14.02086;3.82387
2011;SP;;;3510609;94.61615;4.725822;0.6580259;92.64852;5.076985;2.27449;81.66734;11.65516;6.677496
2011;SP;;;3513009;91.52542;6.779661;1.694915;87.67345;9.414328;2.91223;69.52972;20.60745;9.862835
2011;SP;;;3503703;0;0;0;92.85714;6.349206;0.7936508;91.42857;3.492064;5.079365
2011;SP;;;3509304;0;0;0;0;0;0;86.08924;4.986876;8.923884
2011;SP;;;3511102;0;0;0;94.33289;4.685408;0.9817046;90.12791;8.232207;1.639882
2011;SP;;;3511201;0;0;0;97.82609;0.4830918;1.690821;87.87878;4.545455;7.575758
2011;SP;;;3514924;0;0;0;0;0;0;96.5812;3.418803;0
2011;SP;;;3514957;0;0;0;95.2;4.8;0;89.53488;10.46512;0
2011;SP;;;3521903;0;0;0;0;0;0;95.17767;4.314721;0.5076142
2011;SP;;;3528858;0;0;0;97.2028;2.797203;0;87.01299;12.98701;0
2011;SP;;;3533254;0;0;0;0;0;0;98.21429;1.190476;0.5952381
2011;SP;;;3533502;0;0;0;89.54248;8.061002;2.396514;82.63052;10.94378;6.425703
2011;SP;;;3535101;0;0;0;96.45293;3.410641;0.1364256;89.73105;7.579462;2.689487
2011;SP;;;3535705;0;0;0;0;0;0;94.39252;4.205607;1.401869
2011;SP;;;3538105;0;0;0;89.33334;8;2.666667;87.82201;8.196721;3.981265
2011;SP;;;3545605;0;0;0;98.51632;1.186944;0.2967359;96.28821;2.401747;1.310044
2011;SP;;;3552601;0;0;0;97.77778;1.481481;0.7407407;90.05848;6.725146;3.216374
2011;SP;;;3550308;96.33988;3.091001;0.569118;88.52436;8.957501;2.518139;72.53709;20.70824;6.754673
2011;SP;;;3513801;95.67005;4.208999;0.1209482;91.70816;5.582016;2.709822;79.70593;14.03813;6.25594
